source,target
91606,10828
91606,103
91606,172069
91606,1215522
91606,1896
16483,80757
16483,16483
16483,1100
16483,1218634
1100,1100
1100,115788
1100,56446
1100,65717
1100,1338266
1100,2136301
1100,1396525
1100,114454
1100,1167702
1100,1167703
1100,33663
1100,9979
1100,9789
1100,6449
1100,1218634
1100,1884692
1100,2701107
1100,19011
1218634,1218634
587506,587506
587506,543505
587506,130640
543505,543505
543505,130640
543505,226366
130640,130640
130640,1428
73421,73421
73421,108916
73421,380
73421,1545693
73421,34947
73421,1262612
73421,21200
73421,78729
380,380
380,1036
380,1158
380,3087
380,3092
380,4517
380,11477
380,16178
380,11181
380,14639
380,73641
380,1202593
380,33684
380,138986
380,7447
380,1032
380,1006721
380,11483
380,1545693
380,11478
380,32395
380,1227911
380,27769
380,3084
380,7175
380,11850
380,61110
380,707
380,15189
380,18514
380,4955
380,53397
380,7904
1545693,1545693
1545693,4730
1545693,9464
1545693,14409
515,66776
515,40389
515,515
515,1212
515,4111
515,11770
515,11850
515,1650331
515,350
1650331,1650331
1650331,350
1650331,1277412
350,206
350,350
350,3019
2165,3125
2165,2165
2165,4726
2165,226366
4726,1
4726,1776
4726,7879
4726,973651
4726,1576058
4726,1192928
4726,4726
4726,226366
6968,6968
6968,3894
6968,19492
6968,7447
6968,525
6968,15556
3894,3894
3894,1810
3894,19498
3894,34947
3894,1262612
3894,21200
3894,15762
3894,1160
3894,1813
3894,3361135
3894,1812
3894,6818
3894,525
3894,15556
61110,61110
61110,17051
61110,7447
61110,47
61110,707
7447,7447
7447,15903
7447,6193
7447,1892
7447,557911
7447,131814
7447,138986
7447,85564
7447,194836
7447,115002
7447,11870
7447,55466
7447,6349
7447,21278
7447,13724
7447,6240
7447,21411
7447,206637
7447,707
7447,70651
7447,78798
7447,70615
2054851,2054851
2054851,1356758
2054851,1245
1356758,1356758
1356758,1245
2240369,2240369
2240369,82280
2240369,40092
82280,82280
82280,117418
82280,89289
82280,1188876
82280,40092
82280,27011
82280,8851
82280,543105
82280,81129
40092,40092
40092,137022
5656,5656
5656,1245
5656,1023139
1023139,1023139
1023139,1245
1023139,1060565
1023139,84932
1023139,41039
1023139,578
172069,74568
172069,172069
172069,1215522
172069,1896
1215522,91351
1215522,167662
1215522,53397
1215522,2384929
1215522,1215522
1215522,1896
1215522,1215477
1215522,1233245
1896,74568
1896,1896
1896,9030
1896,2178
1896,1897
1896,18471
1896,77896
525,34947
525,1262612
525,21200
525,525
525,15762
525,1160
525,1813
525,1810
525,3361135
525,1812
525,15556
15556,15556
53768,53768
53768,1430
53768,1232333
1430,1428
1430,1430
1430,53396
1430,1429
1430,22860
1430,7172
1430,1172565
1430,22865
1430,60642
1430,13301
1430,92561
1430,107613
1430,1014931
1430,1232333
1430,61110
1430,707
1430,7447
1430,21037
1430,982
1232333,1232333
40389,40389
40389,52154
40389,66776
40389,7447
40389,11870
40389,55466
40389,32395
40389,1227911
40389,27769
40389,14837
40389,5823
40389,3141
40389,5699
40389,221611
40389,92178
40389,38225
5699,11076
5699,60034
5699,1032541
5699,52154
5699,66776
5699,5699
5699,3905
5699,18686
5699,23626
5699,515
5699,1650331
5699,350
5699,7447
5699,11870
5699,55466
5699,221611
5699,1145520
5699,73421
5699,78729
221611,78729
221611,17628
221611,1179651
221611,187565
221611,221611
65717,194836
65717,115002
65717,7447
65717,65717
65717,1233313
65717,1338266
65717,2136301
65717,74568
65717,226366
65717,1245
1338266,1338266
1338266,2136301
2136301,2136301
56978,56978
56978,43902
56978,84164
43902,43902
43902,84164
84164,84164
21029,21029
21029,47296
21029,1661329
1661329,47296
1661329,1661329
219688,219688
219688,1277412
219688,17828
1277412,1277412
1277412,17828
1277412,120831
1277412,1156586
17828,17828
40036,40036
40036,1394997
40036,131722
40036,1060565
40036,84932
40036,41039
1394997,1394997
1394997,131722
1394997,167662
1394997,53397
1394997,2384929
131722,212208
131722,1428
131722,1025375
131722,131722
